,DATAHORA,COIN,SETUP,RESUMO,TIPO,STATUS,BUY AVG,BUY QNT,BUY CAPITAL,LEAVERAGE,,P1 DATE,P1 AVG,P1 QNT,P1 %,P1 PNL,P1 PNL %,P2 DATE,P2 AVG,P2 QNT,P2 %,P2 PNL,P2 PNL %,P3 DATE,P3 AVG,P3 QNT,P3 %,P3 PNL,P3 PNL %,FEES,DIA,TOTAL_PERCENT,LAST_EXIT_DATE,TOTAL_PNL
24,2026-01-24 07:07:00,DUSK,2H Sobrevendo com Divergência no RSI 1H e 15Min,,LONG,FECHADO,0.13643,4000,545.72,1,,2026-01-24 18:15:00,0.13812,1000,25.0,1.7,1.25,2026-01-24 19:31:16,0.14033,3000,75.0,11.7,2.86,,,,0.0,0.0,0.0,0.44,2026-01-24,2.4574997,2026-01-24 19:31:16,13.4
25,2026-01-24 08:34:00,ACU,15 Min Sobrevenda,Não tirei lucro e voltou tudo,LONG,FECHADO,0.21603,360,77.7708,1,,2026-01-24 10:53:00,0.21694,360,100.0,0.3,0.39,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.06,2026-01-24,0.39,2026-01-24 10:53:00,0.3
26,2026-01-24 13:21:00,XMR,4h Base da Cunha,Stopado Cedo - Medo de perder,LONG,FECHADO,509.03,2,1018.06,1,,2026-01-24 14:41:00,511.16,2,100.0,4.3,0.42,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.81,2026-01-24,0.42,2026-01-24 14:41:00,4.3
27,2026-01-24 14:56:00,XMR,4h Base da Cunha,Stopado Cedo - Medo de perder,LONG,FECHADO,509.8,1,509.8,1,,2026-01-24 18:41:00,512.38,1,100.0,2.6,0.51,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.41,2026-01-24,0.51,2026-01-24 18:41:00,2.6
28,2026-01-24 19:56:00,XMR,Esqueci ordem de compra,Entrada Errada,LONG,FECHADO,505.91,1,505.91,1,,2026-01-24 21:58:00,503.78,1,100.0,-2.1,-0.42,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.4,2026-01-24,-0.42,2026-01-24 21:58:00,-2.1
29,2026-01-24 20:05:00,DUSK,5 Min Rompendo acumulação,Fechei cedo,LONG,FECHADO,0.1406,1000,140.6,1,,2026-01-24 22:06:00,0.15307,1000,100.0,12.5,8.89,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.11,2026-01-24,8.89,2026-01-24 22:06:00,12.5
30,2026-01-24 22:33:00,DUSK,15 Min Rompendo acumulação,Fechei cedo,LONG,FECHADO,0.16598,4000,663.92,1,,2026-01-24 23:23:00,0.17223,4000,100.0,25.0,3.77,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.53,2026-01-24,3.77,2026-01-24 23:23:00,25.0
31,2026-01-25 00:57:00,ZRO,5 Min rompendo cunha descendente,Entrada Errada,LONG,FECHADO,1.9607,"1,100",2156.77,1,,2026-01-25 01:08:00,2,1100,100.0,-10.9,-0.51,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.73,2026-01-25,-0.51,2026-01-25 01:08:00,-10.9
32,2026-01-25 01:10:00,DUSK,Rompendo alta com volume,Saida Rapida,LONG,FECHADO,0.20158,"1,000",201.58,1,,2026-01-25 01:10:00,0.21134,"1,000",100.0,9.8,4.86,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.16,2026-01-25,4.86,2026-01-25 01:10:00,9.8
33,2026-01-25 01:15:00,ZRO,1 Min Pullback dentro da cunha,Stopado na base da cunha,LONG,FECHADO,1.9324,200,386.48,1,,2026-01-25 07:08:00,1.9076,200,100.0,-5.0,-1.29,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.31,2026-01-25,-1.29,2026-01-25 07:08:00,-5.0
34,2026-01-25 01:35:00,DUSK,1 Min pullback,Saida Rapida,LONG,FECHADO,0.19755,2000,395.1,1,,2026-01-25 01:52:00,0.20082,2000,100.0,6.5,1.65,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.32,2026-01-25,1.65,2026-01-25 01:52:00,6.5
35,2026-01-25 08:18:00,ZRO,1 Min Rompimento,Falso Rompimento,LONG,FECHADO,1.9246,100,192.46,1,,2026-01-25 09:17:00,1.9011,100,100.0,-2.3,-1.2,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.15,2026-01-25,-1.2,2026-01-25 09:17:00,-2.3
36,2026-01-25 08:24:00,DUSK,1 Min Rompimento,Falso Rompimento,LONG,FECHADO,0.17816,"2,000",356.32,1,,2026-01-25 09:31:00,0.17323,"2,000",100.0,-9.9,-2.78,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.29,2026-01-25,-2.78,2026-01-25 09:31:00,-9.9
37,2026-01-25 09:38:00,DUSK,1 Min Base da Acumulação,Tirei uma parcial e voltou,LONG,FECHADO,0.17369,"3,000",521.07,1,,2026-01-25 10:26:00,0.1767,"1,000",33.0,4.7,2.73,2026-01-25 10:31:34,0.17448,2000,67.0,-0.2,-0.06,,,,0.0,0.0,0.0,0.42,2026-01-25,0.8607001,2026-01-25 10:31:34,4.5
38,2026-01-25 11:15:00,DUSK,5 Min Base da acumulação,Tirei uma parcial e voltou,LONG,FECHADO,0.17261,1000,172.61,1,,2026-01-25 11:42:00,0.17811,1000,100.0,5.5,3.19,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.14,2026-01-25,3.19,2026-01-25 11:42:00,5.5
39,2026-01-25 12:41:00,DUSK,5 Min Base da acumulação,Stopado no rompimento para baixo,LONG,FECHADO,0.17449,2000,348.98,1,,2026-01-25 13:01:00,0.16917,2000,100.0,-10.6,-3.04,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.28,2026-01-25,-3.04,2026-01-25 13:01:00,-10.6
