,DATAHORA,COIN,TIPO,STATUS,BUY AVG,BUY QNT,BUY CAPITAL,P1 PNL,P1 PNL %,P2 PNL,P2 PNL %,P3 PNL,P3 PNL %,P1 %,P2 %,P3 %,LAST_EXIT_DATE,FEES,TOTAL_PNL,TOTAL_PERCENT,DIA
20,2026-01-23 17:24:00,ICP,LONG,FECHADO,3.436,150,515.4,3.1,0.6,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-01-23 22:05:00,0.41,3.1,0.6,2026-01-23
21,2026-01-23 22:09:00,DUSK,LONG,FECHADO,0.14989,2000,299.78,3.5,1.17,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-01-24 00:51:00,0.24,3.5,1.17,2026-01-23
22,2026-01-23 23:10:00,ACU,LONG,FECHADO,0.317,150,47.55,-8.6,-18.09,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-01-24 00:00:00,0.04,-8.6,-18.09,2026-01-23
23,2026-01-24 00:58:00,DUSK,LONG,FECHADO,0.15158,"3,000",454.74,-20.6,-4.53,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-01-24 05:10:00,0.36,-20.6,-4.53,2026-01-24
24,2026-01-24 07:07:00,DUSK,LONG,FECHADO,0.13643,4000,545.72,1.7,1.25,11.7,2.86,0.0,0.0,25.0,75.0,0.0,2026-01-24 19:31:16,0.44,13.4,2.4574997,2026-01-24
25,2026-01-24 08:34:00,ACU,LONG,FECHADO,0.21603,360,77.7708,0.3,0.39,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-01-24 10:53:00,0.06,0.3,0.39,2026-01-24
26,2026-01-24 13:21:00,XMR,LONG,FECHADO,509.03,2,1018.06,4.3,0.42,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-01-24 14:41:00,0.81,4.3,0.42,2026-01-24
27,2026-01-24 14:56:00,XMR,LONG,FECHADO,509.8,1,509.8,2.6,0.51,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-01-24 18:41:00,0.41,2.6,0.51,2026-01-24
28,2026-01-24 19:56:00,XMR,LONG,FECHADO,505.91,1,505.91,-2.1,-0.42,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-01-24 21:58:00,0.4,-2.1,-0.42,2026-01-24
29,2026-01-24 20:05:00,DUSK,LONG,FECHADO,0.1406,1000,140.6,12.5,8.89,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-01-24 22:06:00,0.11,12.5,8.89,2026-01-24
30,2026-01-24 22:33:00,DUSK,LONG,FECHADO,0.16598,4000,663.92,25.0,3.77,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-01-24 23:23:00,0.53,25.0,3.77,2026-01-24
31,2026-01-25 00:57:00,ZRO,LONG,FECHADO,1.9607,"1,100",2156.77,-10.9,-0.51,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-01-25 01:08:00,1.73,-10.9,-0.51,2026-01-25
32,2026-01-25 01:10:00,DUSK,LONG,FECHADO,0.20158,"1,000",201.58,9.8,4.86,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-01-25 01:10:00,0.16,9.8,4.86,2026-01-25
33,2026-01-25 01:15:00,ZRO,LONG,FECHADO,1.9324,200,386.48,-5.0,-1.29,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-01-25 07:08:00,0.31,-5.0,-1.29,2026-01-25
34,2026-01-25 01:35:00,DUSK,LONG,FECHADO,0.19755,2000,395.1,6.5,1.65,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-01-25 01:52:00,0.32,6.5,1.65,2026-01-25
35,2026-01-25 08:18:00,ZRO,LONG,FECHADO,1.9246,100,192.46,-2.3,-1.2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-01-25 09:17:00,0.15,-2.3,-1.2,2026-01-25
36,2026-01-25 08:24:00,DUSK,LONG,FECHADO,0.17816,"2,000",356.32,-9.9,-2.78,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-01-25 09:31:00,0.29,-9.9,-2.78,2026-01-25
37,2026-01-25 09:38:00,DUSK,LONG,FECHADO,0.17369,"3,000",521.07,4.7,2.73,-0.2,-0.06,0.0,0.0,33.0,67.0,0.0,2026-01-25 10:31:34,0.42,4.5,0.8607001,2026-01-25
38,2026-01-25 11:15:00,DUSK,LONG,FECHADO,0.17261,1000,172.61,5.5,3.19,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-01-25 11:42:00,0.14,5.5,3.19,2026-01-25
39,2026-01-25 12:41:00,DUSK,LONG,FECHADO,0.17449,2000,348.98,-10.6,-3.04,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-01-25 13:01:00,0.28,-10.6,-3.04,2026-01-25
40,2026-01-25 13:01:00,LTC,LONG,FECHADO,69.37,10,693.7,-10.3,-1.48,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-01-25 13:29:00,0.55,-10.3,-1.48,2026-01-25
41,2026-01-25 15:08:00,XMR,LONG,FECHADO,453.17,4,1812.68,18.1,2.0,14.0,1.54,0.0,0.0,50.0,50.0,0.0,2026-01-26 08:45:54,1.45,32.1,1.77,2026-01-25
42,2026-01-25 19:04:00,RIVER,LONG,FECHADO,73.504,2,147.008,0.2,0.14,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-01-25 19:56:00,0.12,0.2,0.14,2026-01-25
43,2026-01-25 20:00:00,AXS,LONG,FECHADO,1.991,100,199.1,-6.0,-3.01,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-01-25 21:26:00,0.16,-6.0,-3.01,2026-01-25
44,2026-01-28 11:00:00,DUSK,LONG,FECHADO,0.14075,2000,281.5,-2.3,-0.82,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-01-28 11:53:00,0.23,-2.3,-0.82,2026-01-28
45,2026-01-28 13:44:00,RIVER,LONG,FECHADO,47.458,10,474.58,4.0,3.37,5.5,2.32,6.8,5.73,25.0,50.0,25.0,2026-01-28 14:19:02,0.38,16.3,3.435,2026-01-28
46,2026-01-28 17:15:00,PIPPIN,LONG,FECHADO,0.39513,250,98.7825,0.7,0.71,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-01-28 21:49:00,0.08,0.7,0.71,2026-01-28
47,2026-01-29 09:20:00,CHZ,LONG,FECHADO,0.04849,"4,000",193.96,6.2,3.2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-01-30 16:19:00,0.16,6.2,3.2,2026-01-29
48,2026-01-29 16:57:00,BCH,LONG,FECHADO,555.75,2,1111.5,-23.3,-2.1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-01-29 22:39:00,0.89,-23.3,-2.1,2026-01-29
